Datetime,CanopyTemp, 
8/01/2016 21:25,17.71, 
8/01/2016 21:30,17.68, 
8/01/2016 21:35,17.24, 
8/01/2016 21:40,17.14, 
8/01/2016 21:45,17.09, 
8/01/2016 21:50,17.1, 
8/01/2016 21:55,16.96, 
8/01/2016 22:00,17.33, 
8/01/2016 22:05,17.24, 
8/01/2016 22:10,17.15, 
8/01/2016 22:15,17.25, 
8/01/2016 22:20,17.24, 
8/01/2016 22:25,17.19, 
8/01/2016 22:30,17.2, 
8/01/2016 22:35,17.25, 
8/01/2016 22:40,17.49, 
8/01/2016 22:45,17.84, 
8/01/2016 22:50,17.62, 
8/01/2016 22:55,19.3, 
8/01/2016 23:00,19.07, 
8/01/2016 23:05,18.41, 
8/01/2016 23:10,18.32, 
8/01/2016 23:15,18.19, 
8/01/2016 23:20,17.64, 
8/01/2016 23:25,17.19, 
8/01/2016 23:30,17.05, 
8/01/2016 23:35,17.06, 
8/01/2016 23:40,17.08, 
8/01/2016 23:45,16.92, 
8/01/2016 23:50,16.83, 
8/01/2016 23:55,16.49, 
9/01/2016 0:00,16.07, 
9/01/2016 0:05,15.89, 
9/01/2016 0:10,15.91, 
9/01/2016 0:15,16.41, 
9/01/2016 0:20,16.94, 
9/01/2016 0:25,17.58, 
9/01/2016 0:30,17.83, 
9/01/2016 0:35,17.39, 
9/01/2016 0:40,17.13, 
9/01/2016 0:45,17.24, 
9/01/2016 0:50,17.33, 
9/01/2016 0:55,16.97, 
9/01/2016 1:00,16.82, 
9/01/2016 1:05,16.58, 
9/01/2016 1:10,16.85, 
9/01/2016 1:15,16.64, 
9/01/2016 1:20,16.79, 
9/01/2016 1:25,17, 
9/01/2016 1:30,17.46, 
9/01/2016 1:35,17.71, 
9/01/2016 1:40,17.43, 
9/01/2016 1:45,17.3, 
9/01/2016 1:50,17.31, 
9/01/2016 1:55,16.96, 
9/01/2016 2:05,16.58, 
9/01/2016 2:10,16.48, 
9/01/2016 2:15,16.49, 
9/01/2016 2:20,15.81, 
9/01/2016 2:25,15.92, 
9/01/2016 2:35,16.39, 
9/01/2016 2:40,16.61, 
9/01/2016 2:45,16.67, 
9/01/2016 2:50,16.78, 
9/01/2016 2:55,16.41, 
9/01/2016 3:00,16.12, 
9/01/2016 3:05,15.88, 
9/01/2016 3:10,15.58, 
9/01/2016 3:15,15.62, 
9/01/2016 3:20,15.4, 
9/01/2016 3:25,15.4, 
9/01/2016 3:30,15.37, 
9/01/2016 3:35,15.13, 
9/01/2016 3:40,15, 
9/01/2016 3:45,14.86, 
9/01/2016 3:50,14.77, 
9/01/2016 3:55,14.58, 
9/01/2016 4:00,14.51, 
9/01/2016 4:05,14.5, 
9/01/2016 4:10,14.4, 
9/01/2016 4:15,14.41, 
9/01/2016 4:20,14.53, 
9/01/2016 4:25,14.7, 
9/01/2016 4:30,14.7, 
9/01/2016 4:35,14.68, 
9/01/2016 4:40,14.52, 
9/01/2016 4:45,14.24, 
9/01/2016 4:50,14.11, 
9/01/2016 4:55,14.31, 
9/01/2016 5:00,15.58, 
9/01/2016 5:05,16.02, 
9/01/2016 5:10,15.96, 
9/01/2016 5:15,15.55, 
9/01/2016 5:20,15.77, 
9/01/2016 5:25,16.12, 
